tweet_text,sentiment,date,topic,source
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative,Mon Apr 06 22:19:45 PDT 2009,Healthcare Services,Twitter
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative,Mon Apr 06 22:19:57 PDT 2009,Healthcare Services,Twitter
@twittera que me muera ? ,Negative,Mon Apr 06 22:20:09 PDT 2009,Healthcare Services,Twitter
I just re-pierced my ears ,Negative,Mon Apr 06 22:20:17 PDT 2009,Healthcare Services,Twitter
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Negative,Mon Apr 06 22:20:19 PDT 2009,Healthcare Services,Twitter
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Negative,Mon Apr 06 22:20:20 PDT 2009,Healthcare Services,Twitter
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Negative,Mon Apr 06 22:20:20 PDT 2009,Healthcare Services,Twitter
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Negative,Mon Apr 06 22:20:22 PDT 2009,Healthcare Services,Twitter
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Negative,Mon Apr 06 22:20:34 PDT 2009,Healthcare Services,Twitter
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",Negative,Mon Apr 06 22:20:38 PDT 2009,Healthcare Services,Twitter
Just going to cry myself to sleep after watching Marley and Me.  ,Negative,Mon Apr 06 22:20:50 PDT 2009,Healthcare Services,Twitter
Meh... Almost Lover is the exception... this track gets me depressed every time. ,Negative,Mon Apr 06 22:21:04 PDT 2009,Healthcare Services,Twitter
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,Negative,Mon Apr 06 22:21:07 PDT 2009,Healthcare Services,Twitter
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,Negative,Mon Apr 06 22:21:09 PDT 2009,Healthcare Services,Twitter
@julieebaby awe i love you too!!!! 1 am here  i miss you,Negative,Mon Apr 06 22:21:11 PDT 2009,Healthcare Services,Twitter
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,Negative,Mon Apr 06 22:21:20 PDT 2009,Healthcare Services,Twitter
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,Negative,Mon Apr 06 22:21:27 PDT 2009,Healthcare Services,Twitter
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,Negative,Mon Apr 06 22:21:30 PDT 2009,Healthcare Services,Twitter
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,Negative,Mon Apr 06 22:21:32 PDT 2009,Healthcare Services,Twitter
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Negative,Mon Apr 06 22:21:39 PDT 2009,Healthcare Services,Twitter
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,Negative,Mon Apr 06 22:21:53 PDT 2009,Healthcare Services,Twitter
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",Negative,Mon Apr 06 22:22:06 PDT 2009,Healthcare Services,Twitter
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,Negative,Mon Apr 06 22:22:49 PDT 2009,Healthcare Services,Twitter
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",Negative,Mon Apr 06 22:23:08 PDT 2009,Healthcare Services,Twitter
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",Negative,Mon Apr 06 22:23:28 PDT 2009,Healthcare Services,Twitter
@katortiz  Not forever... See you soon!,Negative,Mon Apr 06 22:23:28 PDT 2009,Healthcare Services,Twitter
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,Negative,Mon Apr 06 22:23:35 PDT 2009,Healthcare Services,Twitter
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,Negative,Mon Apr 06 22:23:39 PDT 2009,Healthcare Services,Twitter
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",Negative,Mon Apr 06 22:23:43 PDT 2009,Healthcare Services,Twitter
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",Negative,Mon Apr 06 22:25:44 PDT 2009,Healthcare Services,Twitter
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,Negative,Mon Apr 06 22:25:49 PDT 2009,Healthcare Services,Twitter
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",Negative,Mon Apr 06 22:25:53 PDT 2009,Healthcare Services,Twitter
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",Negative,Mon Apr 06 22:26:06 PDT 2009,Healthcare Services,Twitter
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,Negative,Mon Apr 06 22:26:10 PDT 2009,Healthcare Services,Twitter
Poor cameron (the hills) ,Negative,Mon Apr 06 22:26:18 PDT 2009,Healthcare Services,Twitter
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",Negative,Mon Apr 06 22:26:21 PDT 2009,Healthcare Services,Twitter
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",Negative,Mon Apr 06 22:26:22 PDT 2009,Healthcare Services,Twitter
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,Negative,Mon Apr 06 22:26:27 PDT 2009,Healthcare Services,Twitter
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",Negative,Mon Apr 06 22:26:28 PDT 2009,Healthcare Services,Twitter
"@stark YOU don't follow me, either  and i work for you!",Negative,Mon Apr 06 22:26:29 PDT 2009,Healthcare Services,Twitter
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,Negative,Mon Apr 06 22:26:33 PDT 2009,Healthcare Services,Twitter
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",Negative,Mon Apr 06 22:26:38 PDT 2009,Healthcare Services,Twitter
@kpreyes Remember my bum leg? Strikes back this time its serious ,Negative,Mon Apr 06 22:26:45 PDT 2009,Healthcare Services,Twitter
"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",Negative,Mon Apr 06 22:26:45 PDT 2009,Healthcare Services,Twitter
Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,Negative,Mon Apr 06 22:26:48 PDT 2009,Healthcare Services,Twitter
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,Negative,Mon Apr 06 22:26:49 PDT 2009,Healthcare Services,Twitter
@Henkuyinepu it's overrated ,Negative,Mon Apr 06 22:26:52 PDT 2009,Healthcare Services,Twitter
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,Negative,Mon Apr 06 22:26:54 PDT 2009,Healthcare Services,Twitter
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,Negative,Mon Apr 06 22:26:57 PDT 2009,Healthcare Services,Twitter
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,Negative,Mon Apr 06 22:27:00 PDT 2009,Healthcare Services,Twitter
@salancaster  hope your ok.,Negative,Mon Apr 06 22:27:02 PDT 2009,Healthcare Services,Twitter
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,Negative,Mon Apr 06 22:27:08 PDT 2009,Healthcare Services,Twitter
Hanging in Crooners. Wanna sing. Can't. Sucks. ,Negative,Mon Apr 06 22:27:16 PDT 2009,Healthcare Services,Twitter
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,Negative,Mon Apr 06 22:27:18 PDT 2009,Healthcare Services,Twitter
Is pissed off that there's no ASBA's for a radio station. ,Negative,Mon Apr 06 22:27:21 PDT 2009,Healthcare Services,Twitter
"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",Negative,Mon Apr 06 22:27:45 PDT 2009,Healthcare Services,Twitter
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,Negative,Mon Apr 06 22:27:45 PDT 2009,Healthcare Services,Twitter
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,Negative,Mon Apr 06 22:27:56 PDT 2009,Healthcare Services,Twitter
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,Negative,Mon Apr 06 22:27:56 PDT 2009,Healthcare Services,Twitter
"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",Negative,Mon Apr 06 22:28:02 PDT 2009,Healthcare Services,Twitter
i miss kenny powers ,Negative,Mon Apr 06 22:28:07 PDT 2009,Healthcare Services,Twitter
My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,Negative,Mon Apr 06 22:28:26 PDT 2009,Healthcare Services,Twitter
Going to sleep. Hoping tomorrow is a better day. ,Negative,Mon Apr 06 22:28:33 PDT 2009,Healthcare Services,Twitter
@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,Negative,Mon Apr 06 22:28:32 PDT 2009,Healthcare Services,Twitter
I don't understand... I really don't ,Negative,Mon Apr 06 22:28:38 PDT 2009,Healthcare Services,Twitter
HEROES just isn't doing it for me this season... ,Negative,Mon Apr 06 22:28:38 PDT 2009,Healthcare Services,Twitter
